Nom_Fichier,Artiste,Cluster_ID,Distance_Centroide,Score_Silhouette
de-kooning_7.jpg,De-kooning,6,4.9313,0.0042
de-kooning_8.jpg,De-kooning,23,5.6565,-0.0461
de-kooning_9.jpg,De-kooning,23,3.9054,-0.05
de-souza-cardoso_11.jpg,De-souza-cardoso,3,6.5496,0.0022
de-souza-cardoso_12.jpg,De-souza-cardoso,27,4.2649,-0.0394
de-souza-cardoso_13.jpg,De-souza-cardoso,6,5.531,-0.0072
de-souza-cardoso_14.jpg,De-souza-cardoso,23,4.3234,-0.0388
de-souza-cardoso_15.jpg,De-souza-cardoso,6,4.6904,0.0488
de-souza-cardoso_31.jpg,De-souza-cardoso,7,6.1866,-0.0342
de-souza-cardoso_32.jpg,De-souza-cardoso,7,6.459,-0.0649
de-souza-cardoso_33.jpg,De-souza-cardoso,3,6.1263,0.0329
de-souza-cardoso_34.jpg,De-souza-cardoso,25,6.248,-0.0888
de-stael_1.jpg,De-stael,28,5.3734,-0.1419
de-stael_10.jpg,De-stael,9,5.9434,-0.0188
de-stael_11.jpg,De-stael,4,4.9109,0.0937
de-stael_12.jpg,De-stael,4,5.9286,0.0835
de-stael_13.jpg,De-stael,4,5.3642,0.072
de-stael_14.jpg,De-stael,4,4.2844,0.0987
de-stael_15.jpg,De-stael,21,5.4295,-0.0851
de-stael_16.jpg,De-stael,9,6.1488,-0.0614
de-stael_18.jpg,De-stael,16,6.5198,0.0295
de-stael_19.jpg,De-stael,9,7.2786,-0.0225
de-stael_2.jpg,De-stael,4,5.5756,0.0809
de-stael_20.jpg,De-stael,16,4.8464,0.0258
de-stael_21.jpg,De-stael,9,6.105,-0.0619
de-stael_22.jpg,De-stael,16,6.6096,0.0732
de-stael_23.jpg,De-stael,6,6.0078,0.0361
de-stael_24.jpg,De-stael,4,5.1297,0.0773
de-stael_29.jpg,De-stael,6,5.5986,-0.0093
de-stael_3.jpg,De-stael,4,4.1264,0.1134
de-stael_4.jpg,De-stael,4,5.427,0.0861
de-stael_41.jpg,De-stael,4,4.7933,0.0678
de-stael_5.jpg,De-stael,20,4.8503,-0.05
de-stael_6.jpg,De-stael,20,4.9098,-0.0336
de-stael_7.jpg,De-stael,4,5.4023,0.0899
de-stael_8.jpg,De-stael,0,7.6314,-0.0253
de-stael_9.jpg,De-stael,2,7.2653,-0.1297
debre_1.jpg,Debre,23,4.6345,-0.0519
debre_2.jpg,Debre,10,9.5997,-0.0531
defeo_1.jpg,Defeo,4,4.8822,0.1229
degottex_1.jpg,Degottex,9,6.1388,-0.0657
degottex_10.jpg,Degottex,13,7.1439,0.05
degottex_11.jpg,Degottex,16,6.5839,-0.032
degottex_2.jpg,Degottex,20,7.0205,-0.0729
degottex_3.jpg,Degottex,6,5.3256,0.0278
degottex_4.jpg,Degottex,12,6.6313,-0.0309
degottex_5.jpg,Degottex,22,6.0852,-0.0698
deguelle_1.jpg,Deguelle,3,6.5735,-0.0021
del-marle_1.jpg,Del-marle,14,8.6538,-0.0667
delaney_1.jpg,Delaney,16,5.8133,-0.0605
delaunay-r_10.jpg,Delaunay-r,20,4.61,-0.0447
delaunay-r_12.jpg,Delaunay-r,11,7.7154,-0.1141
delaunay-r_15.jpg,Delaunay-r,6,6.3946,-0.0146
delaunay-r_17.jpg,Delaunay-r,24,4.9091,-0.0361
