nom,classe,x,y
fautrier_12.jpg,10,-7.5561137,4.0031996
fautrier_13.jpg,6,-14.15731,6.147656
fautrier_14.jpg,6,-13.510499,13.170918
fautrier_2.jpg,6,-6.7781105,18.738272
fautrier_25.jpg,6,-9.156977,24.353216
fautrier_26.jpg,4,-21.150642,-3.8900907
fautrier_29.jpg,10,-9.528965,-7.22206
fautrier_7.jpg,2,-5.881334,3.607098
fautrier_9.jpg,10,-6.503592,4.037924
favier_1.jpg,2,19.264557,2.7223325
fernandez.jpg,6,20.965935,9.026285
festa_1.jpg,12,28.129278,-17.816061
filia_1.jpg,9,1.564096,-5.033452
fini_1.jpg,10,-7.181283,-7.443052
fini_2.jpg,11,14.251815,-12.712664
folmer_1.jpg,12,26.97953,-21.638655
folmer_2.jpg,9,8.649238,-4.0751452
folmer_3.jpg,3,27.9738,-11.716382
fondrillon_1.jpg,2,-20.567598,-0.03678199
fontana_1.jpg,2,8.659957,13.063776
fontana_10.jpg,2,14.273809,8.867022
fontana_11.jpg,10,-15.438636,-11.350528
fontana_12.jpg,6,-21.739552,15.458477
fontana_13.jpg,2,-13.516133,0.5465132
fontana_14.jpg,2,14.113649,11.897232
fontana_15.jpg,2,20.763767,12.9014845
fontana_16.jpg,8,12.580895,5.0830274
fontana_17.jpg,2,-13.461932,3.1460378
fontana_18.jpg,2,-14.567839,1.5173141
fontana_19.jpg,10,21.903046,-6.6023417
